Subject,gender,integ_experienced,prop_time_off_path,entropy_all,MSD_all,abs_error,r_squared,sbsod_score
15,F,1.47882876,0.111619453,0.871249954,0.132108969,41.9843,0.095393902,1.133333333
16,F,1.295613163,0.140748347,0.967967681,0.105441362,60.32643,0.743477043,3.866666667
17,F,1.412667976,0.23297917,0.909401236,0.114697763,15.92588,0.923238318,4.4
19,M,1.315616807,0.460811779,0.996236284,0.101596415,56.06167,0.358298397,5.733333333
20,F,1.372207681,0.160069624,0.955624503,0.118038605,64.14429,0.48532991,3.6
21,M,1.421152123,0.407028962,0.964166955,0.114174729,52.00474,0.565512384,6.466666667
27,F,1.346171419,0.054202823,0.909366342,0.095080687,12.68929,0.952816819,3.466666667
32,F,1.293715663,0.18254902,0.904202922,0.098219015,47.01068,0.69103763,3.733333333
33,F,1.327316763,0.329557747,0.903815408,0.095166817,60.00766,0.278551154,4.2
34,F,1.276666809,0.457452397,0.934642718,0.102412878,69.29649,0.329403343,4.8
35,F,1.326754097,0.557787411,1.018361872,0.0983243,68.34873,0.210429666,2.866666667
36,M,1.290932449,0.127494961,0.934522049,0.126067825,56.63843,0.007391923,3.8
37,F,1.352057104,0.526945377,0.988785891,0.110662455,63.41547,0.382872157,3.8
38,M,1.32566651,0.265946011,0.927544943,0.106200711,17.20146,0.792613887,4.333333333
41,F,1.446206784,0.425893831,0.934379872,0.1000268,59.66279,0.38039163,3.133333333
42,M,1.316629477,0.270048563,0.98703001,0.104751149,22.59622,0.755065902,5.533333333
43,F,1.333496879,0.114255014,0.857424345,0.123891447,19.3834,0.872228968,5.6
44,M,1.367930619,0.019812222,0.862652041,0.116121906,9.84341,0.957277724,3.466666667
45,F,1.354255818,0.093846457,0.890810648,0.090052677,46.2746,0.480928084,4.266666667
46,F,1.354122819,0.261898212,0.920949059,0.103314026,72.11782,0.022831461,5.466666667
47,M,1.340829743,0.304439622,0.931905772,0.098088446,57.83922,0.195035956,4
48,F,1.449665775,0.308915342,0.863928526,0.094112961,56.5067,0.227553749,5.133333333
49,M,1.35629845,0.073102225,0.854988934,0.113697231,19.50352,0.696558527,4.533333333
50,F,1.25001335,0.06921109,0.93421579,0.123468214,57.19317,0.769275836,4.666666667
51,F,1.450874358,0.292355308,0.890418731,0.08401871,50.6645,0.621944938,2.533333333
52,F,1.173092936,0.058730888,0.924125055,0.081859947,62.71866,0.544488366,3.266666667
55,F,1.323438352,0.091736074,0.893252623,0.089140715,53.74683,0.225651478,4.133333333
56,F,1.203646939,-6.24E-05,0.971585162,0.097550481,59.30945,0.740025449,3
57,M,1.377052022,0.436287257,0.983875631,0.129248293,16.7949,0.128886361,3
58,F,1.356903727,0.191026273,0.860855475,0.110662659,17.0473,0.788245573,4
60,M,1.267275442,0.22201277,0.939952361,0.091327896,18.24003,0.887430344,4.2
62,M,1.366665477,0.240999424,0.856484023,0.093682496,31.69304,0.752633471,3
64,F,1.310617575,0.251098162,0.852430799,0.091159409,56.25362,0.639340492,4.666666667
66,M,1.316530328,0.322015915,0.949624685,0.105587534,12.13777,0.987386297,5.2
68,F,1.382765798,0.153821957,0.843711856,0.109370592,22.4912,0.884612523,5.8
69,F,1.458235521,0.228741382,0.853774613,0.106025493,17.23745,0.966467103,4.333333333
70,F,1.386955773,0.187056505,0.922607375,0.121754921,39.04802,0.610611868,4.6
71,F,1.203271346,0.202197802,0.913736078,0.085218954,74.12767,0.096005229,2.466666667
72,F,1.317572285,0.153814147,0.895705867,0.116701549,10.1944,0.951436844,3.533333333
73,M,1.455608927,0.274996816,0.837195189,0.11334618,12.74348,0.833827321,3.8
74,M,1.365093418,0.105555997,0.890422763,0.096145306,61.86482,0.468996325,2.733333333
76,M,1.316591852,0.353431046,0.9551427,0.110478112,51.5058,0.508609763,5
77,M,1.304070755,0.367655966,0.974254067,0.121344315,23.56022,0.828404554,3.6
78,M,1.314392833,0.143959755,0.918965209,0.088841188,27.61802,0.848771606,4.133333333
80,M,1.332974115,0.144536956,0.9273841,0.083502943,42.32509,0.434207637,3.666666667
81,F,1.328705453,0.292644261,0.900426647,0.092235102,16.34196,0.8939642,4.4
83,F,1.287054417,0.060520806,0.937253401,0.083239784,47.20998,0.371779876,2.733333333
84,M,1.317934996,0.247377443,0.990874913,0.11402068,14.89353,0.929688156,5.266666667
85,F,1.257353553,0.145488959,0.916847303,0.089832928,91.06775,0.686898646,3.933333333
86,F,1.324723128,0.022132649,0.885865069,0.10869169,63.29437,0.87017168,2.666666667
90,F,1.37049355,0.223413549,0.852323647,0.10690191,26.52651,0.811522019,4.2
93,M,1.373254493,0.340172786,0.982375211,0.120539493,8.3405,0.88154878,6.066666667
